項目,表記,単位数
実用英語技能検定1級,実用英検:1級,2
実用英語技能検定準1級,実用英検:準1級,2
実用英語技能検定2級,実用英検:2級,2
実用英語技能検定準2級プラス,実用英検:準2級プラス,1
実用英語技能検定準2級,実用英検:準2級,1
技術英語能力検定プロフェッショナル,技術英検:プロフェッショナル,2
技術英語能力検定準プロフェッショナル,技術英検:準プロフェッショナル,1
技術英語能力検定1級,技術英検:1級,1
技術英語能力検定2級,技術英検:2級,2
技術英語能力検定3級,技術英検:3級,1
TOEIC L&R 730点以上,TOEIC L&R:730点以上,4
TOEIC L&R 600点以上,TOEIC L&R:600点以上,1
TOEIC L&R 470点〜599点,TOEIC L&R:470〜599点,1
TOEIC L&R 400点以上,TOEIC L&R:400点以上,1
日本漢字能力検定1級,漢字検定:1級,1
日本漢字能力検定準1級,漢字検定:準1級,1
日本漢字能力検定2級,漢字検定:2級,1
ドイツ語基礎統一試験(ZD),国際ドイツ語検定:ZD,2
スタート・ドイツ語Ⅱ(SD2),国際ドイツ語検定:SD2,1
スタート・ドイツ語Ⅰ(SD1),国際ドイツ語検定:SD1,1
