教科名,学年,科目,区分,単位数
英語(Ｇ)A,1,一般,必修,1
英語(Ｇ)B,1,一般,必修,1
英語(ＬＳ)IA,1,一般,必修,1
英語(ＬＳ)IB,1,一般,必修,1
英語(ＲＷ)IA,1,一般,必修,1
英語(ＲＷ)IB,1,一般,必修,1
芸術,1,一般,必修,1
国語IA,1,一般,必修,1
国語IB,1,一般,必修,1
地理A,1,一般,必修,1
地理B,1,一般,必修,1
保健体育IA,1,一般,必修,1
保健体育IB,1,一般,必修,1
基礎化学IA,1,一般,必修,1
基礎化学IB,1,一般,必修,1
基礎科学,1,一般,必修,1
基礎数学I,1,一般,必修,3
基礎数学II,1,一般,必修,2
基礎数学III,1,一般,必修,1
物理学I,1,一般,必修,1
環境都市工学概論,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門II,1,専門,必修,1
情報I,1,専門,必修,1
測量学I,1,専門,必修,1
力学基礎,1,専門,必修,1
情報セキュリティ演習,1,専門,選択,1
国語IIA,2,一般,必修,1
国語IIB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語IIIA,2,一般,必修,1
英語IIIB,2,一般,必修,1
英語IVA,2,一般,必修,1
英語IVB,2,一般,必修,1
保健体育IIA,2,一般,必修,1
保健体育IIB,2,一般,必修,1
線形代数IA,2,一般,必修,1
線形代数IB,2,一般,必修,1
微分積分IA,2,一般,必修,2
微分積分IB,2,一般,必修,2
物理学IIA,2,一般,必修,1
物理学IIB,2,一般,必修,1
化学IA,2,一般,必修,1
化学IB,2,一般,必修,1
日本文化論,2,一般,選択,1
環境都市工学概論II,2,専門,必修,1
測量学II,2,専門,必修,1
測量学III,2,専門,必修,1
構造力学I,2,専門,必修,1
構造力学II,2,専門,必修,1
建設材料学,2,専門,必修,1
材料実験,2,専門,必修,2
測量実習A,2,専門,必修,1
測量実習B,2,専門,必修,1
日本事情IIA,3,一般,必修（留学生）,1
日本事情IIB,3,一般,必修（留学生）,1
日本事情III,3,一般,必修（留学生）,1
国語III,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語VA,3,一般,必修,1
英語VB,3,一般,必修,1
ドイツ語IA,3,一般,必修,1
ドイツ語IB,3,一般,必修,1
体育IA,3,一般,必修,1
体育IB,3,一般,必修,1
線形代数II,3,一般,必修,1
微分積分II,3,一般,必修,2
微分積分III,3,一般,必修,2
ライフサイエンス・アースサイエンス,3,一般,必修,1
物理学III,3,一般,必修,1
物理学IV,3,一般,必修,1
化学II,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本文化論,3,一般,選択,1
日本語IA,3,一般,必修（留学生）,1
日本事情IA,3,一般,必修（留学生）,1
日本事情IB,3,一般,必修（留学生）,1
日本語IB,3,一般,必修（留学生）,1
プログラミング演習,3,専門,必修,1
測量学IV,3,専門,必修,1
土木総合学習I,3,専門,必修,1
水理学I,3,専門,必修,1
水理学II,3,専門,必修,1
土質力学I,3,専門,必修,1
土質力学II,3,専門,必修,1
コンクリート構造学I,3,専門,必修,1
コンクリート構造学II,3,専門,必修,2
環境概論,3,専門,必修,1
上下水道工学I,3,専門,必修,2
水環境工学,3,専門,必修,1
測量実習C,3,専門,必修,1
プロジェクト実習,3,専門,必修選択,1
水資源工学,3,専門,選択,2
国語表現,4,一般,必修,1
体育II,4,一般,必修,1
英語演習IA,4,一般,必修選択,1
英会話IA,4,一般,必修選択,1
英語演習IB,4,一般,必修選択,1
英会話IB,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
ドイツ語IIA,4,一般,選択,1
中国語IA,4,一般,選択,1
ドイツ語IIB,4,一般,選択,1
中国語IB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語IIA,4,一般,必修,1
日本語IIB,4,一般,必修,1
応用物理,4,専門,必修,1
構造力学III,4,専門,必修,2
構造力学IV,4,専門,必修,2
水理学III,4,専門,必修,2
水理学IV,4,専門,必修,2
土質力学III,4,専門,必修,2
土質力学IV,4,専門,必修,2
コンクリート構造設計学,4,専門,必修,2
上下水道工学II,4,専門,必修,2
水域システム工学,4,専門,必修,2
コンクリート構造設計製図,4,専門,必修,2
土木総合学習II,4,専門,必修,1
防災工学,4,専門,必修,2
水理実験,4,専門,必修,2
土質実験,4,専門,必修,2
応用物理実験,4,専門,必修,1
課題研究,4,専門,必修,1
応用数学A,4,専門,必修選択,2
応用数学B,4,専門,必修選択,2
応用数学C,4,専門,必修選択,2
学外実習,4,専門,選択,2
体育III,5,一般,必修,1
英語演習II,5,一般,必修選択,1
英会話II,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語IIIA,5,一般,選択,1
中国語IIA,5,一般,選択,1
ドイツ語IIIB,5,一般,選択,1
中国語IIB,5,一般,選択,1
日本文化論,5,一般,選択,1
日本語IIIA,5,一般,必修（留学生）,1
日本語IIIB,5,一般,必修（留学生）,1
統計学,5,専門,必修,2
環境統計学,5,専門,必修,2
土木英語演習,5,専門,必修,1
卒業研究I,5,専門,必修,2
卒業研究II,5,専門,必修,6
環境工学実験,5,専門,必修選択,2
構造工学実験,5,専門,必修選択,2
土木総合学習III,5,専門,選択,1
生態環境工学,5,専門,選択,1
計算工学,5,専門,選択,1
建設プロジェクト実践,5,専門,選択,1
橋構造,5,専門,選択,1
耐震構造,5,専門,選択,1
プレストレストコンクリート工学,5,専門,選択,1
環境管理手法,5,専門,選択,2
空間情報工学,5,専門,選択,2
